channel_set,family,horizon,model,model_display,n_features,test_accuracy,test_auprc,test_auroc,test_balanced_accuracy,test_brier,test_f1,test_fn,test_fp,test_n,test_n_negative,test_n_positive,test_precision,test_recall_sensitivity,test_specificity,test_threshold,test_tn,test_tp,train_seconds,val_accuracy,val_auprc,val_auroc,val_balanced_accuracy,val_brier,val_f1,val_fn,val_fp,val_n,val_n_negative,val_n_positive,val_precision,val_recall_sensitivity,val_specificity,val_threshold,val_tn,val_tp
values,baseline,18,RandomForest_balanced,RandomForest_balanced,130,0.6413043478260869,0.8239547539481427,0.7196725860155384,0.5703107658157602,0.2050667119565217,0.7506297229219143,21,78,276,106,170,0.6563876651982379,0.8764705882352941,0.2641509433962264,0.43,28,149,1.472,0.7065217391304348,0.8373109210748843,0.7625693673695895,0.6285793562708102,0.1874507246376811,0.8019559902200489,6,75,276,106,170,0.6861924686192469,0.9647058823529412,0.2924528301886792,0.43,31,164
values,baseline,18,ExtraTrees_balanced,ExtraTrees_balanced,130,0.6702898550724637,0.8154732649939325,0.7135127635960045,0.5973917869034406,0.2061321557971014,0.773067331670823,15,76,276,106,170,0.670995670995671,0.9117647058823528,0.2830188679245283,0.4325,30,155,0.725,0.6992753623188406,0.841509276988799,0.7562985571587125,0.6155937846836848,0.1922508831521739,0.8,4,79,276,106,170,0.6775510204081633,0.976470588235294,0.2547169811320754,0.4325,27,166
values,baseline,18,MLP_tabular,MLP_tabular,130,0.6376811594202898,0.8143722857452738,0.6992785793562707,0.5549389567147613,0.2124775454227679,0.7560975609756098,15,85,276,106,170,0.6458333333333334,0.9117647058823528,0.1981132075471698,0.3276399970054626,21,155,0.3,0.6811594202898551,0.760364124784142,0.6872364039955604,0.5920088790233075,0.2117509541154942,0.7904761904761904,4,84,276,106,170,0.664,0.976470588235294,0.2075471698113207,0.3276399970054626,22,166
values,baseline,18,LogReg_L2_balanced,LogReg_L2_balanced,130,0.6413043478260869,0.7907760110891247,0.6971143174250831,0.5418978912319645,0.2210310351491419,0.7692307692307693,5,94,276,106,170,0.637065637065637,0.9705882352941176,0.1132075471698113,0.2109065104081907,12,165,0.037,0.6557971014492754,0.7634162492744514,0.6804106548279689,0.5589900110987791,0.2292511346454231,0.7775175644028103,4,91,276,106,170,0.6459143968871596,0.976470588235294,0.1415094339622641,0.2109065104081907,15,166
values,baseline,18,Dummy_StratifiedFloor,Dummy_StratifiedFloor,130,0.6159420289855072,0.6058598914702564,0.478079911209767,0.5,0.4963768115942029,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170,0.0,0.6159420289855072,0.6024735694850708,0.4704217536071033,0.5,0.5036231884057971,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170
values_masks,baseline,18,ExtraTrees_balanced,ExtraTrees_balanced,260,0.6811594202898551,0.8353996540894151,0.7382630410654829,0.6008879023307436,0.2003812047101449,0.7853658536585366,9,79,276,106,170,0.6708333333333333,0.9470588235294116,0.2547169811320754,0.3575,27,161,0.775,0.7028985507246377,0.8378952883996738,0.7532463928967814,0.6203107658157603,0.1910797101449275,0.8019323671497585,4,78,276,106,170,0.680327868852459,0.976470588235294,0.2641509433962264,0.3575,28,166
values_masks,baseline,18,RandomForest_balanced,RandomForest_balanced,260,0.6666666666666666,0.8254427724369229,0.7241675915649279,0.5926748057713651,0.2028369565217391,0.7711442786069652,15,77,276,106,170,0.6681034482758621,0.9117647058823528,0.2735849056603773,0.425,29,155,1.32,0.7065217391304348,0.8418876801133082,0.7687291897891231,0.626803551609323,0.1865800724637681,0.8029197080291971,5,76,276,106,170,0.6846473029045643,0.9705882352941176,0.2830188679245283,0.425,30,165
values_masks,baseline,18,HistGradBoost,HistGradBoost,260,0.6811594202898551,0.8108497149689432,0.7137069922308547,0.5902330743618202,0.2107775910231594,0.7914691943127962,3,85,276,106,170,0.6626984126984127,0.9823529411764704,0.1981132075471698,0.2187245239161728,21,167,0.346,0.6956521739130435,0.84184901694861,0.7757491675915649,0.609100998890122,0.1904184788146242,0.7990430622009569,3,81,276,106,170,0.6733870967741935,0.9823529411764704,0.2358490566037736,0.2187245239161728,25,167
values_masks,baseline,18,LogReg_L2_balanced,LogReg_L2_balanced,260,0.6376811594202898,0.7809879623027184,0.7046059933407325,0.5496115427302997,0.2226273302449647,0.7596153846153846,12,88,276,106,170,0.6422764227642277,0.9294117647058824,0.1698113207547169,0.2071930060658169,18,158,0.059,0.6811594202898551,0.7625740663237394,0.6895116537180911,0.5991120976692563,0.2314171110406528,0.7864077669902912,8,80,276,106,170,0.6694214876033058,0.9529411764705882,0.2452830188679245,0.2071930060658169,26,162
values_masks,baseline,18,MLP_tabular,MLP_tabular,260,0.6231884057971014,0.7775681135824548,0.6769145394006659,0.5680355160932298,0.2251522505773434,0.7248677248677249,33,71,276,106,170,0.6586538461538461,0.8058823529411765,0.330188679245283,0.4747708141803741,35,137,0.368,0.7065217391304348,0.734161158375938,0.6735294117647058,0.6552164261931188,0.2178253636771874,0.7862796833773087,21,60,276,106,170,0.7129186602870813,0.8764705882352941,0.4339622641509434,0.4747708141803741,46,149
